k[h/Mpc] G1(z=0.00) G1(z=0.50) G1(z=1.00) G1(z=2.00) G1(z=3.00) 
1.35 1.60903680618 1.83409558997 2.01625534941 2.06594349637 1.91468442449 
1.36004 1.61560225703 1.81336589513 2.02599795643 2.06937082816 1.91600149194 
1.37005 1.59362138081 1.83243250436 2.02073645237 2.07407560165 1.92158989875 
1.38005 1.60190586819 1.80871885652 2.02854743026 2.07770016563 1.92827808343 
1.38996 1.58286714455 1.82835042166 2.02315513457 2.07771113709 1.93097603637 
1.39992 1.58984379831 1.80606991802 2.0211210613 2.08989398961 1.93888105742 
1.40997 1.58600925466 1.81328382785 2.01332223473 2.09547740918 1.94302123922 
1.42004 1.57481834694 1.82259152732 2.0140085612 2.09666898393 1.94472694967 
1.43004 1.56807051134 1.81384367143 2.0205156527 2.09992877795 1.9515102275 
1.44 1.56301462431 1.80693029321 2.01551443145 2.1055920987 1.95581674267 
1.45005 1.56149662357 1.79880276161 2.02652352267 2.10863735268 1.96195577844 
1.46008 1.54883365699 1.79131616044 2.01766108562 2.10772600202 1.96207996429 
1.47003 1.55191554987 1.79562826945 2.01513005025 2.11271366098 1.96851739646 
1.47999 1.54711550149 1.8047665497 2.00846906595 2.11310778309 1.97681731398 
1.49001 1.54784760724 1.78659774106 2.01223937335 2.11998916318 1.97784819829 
1.49999 1.53778274125 1.79325398623 2.00708108003 2.12272363868 1.9869337678 
1.51004 1.52873759731 1.77029359101 2.0276672954 2.12838932014 1.98721207668 
1.52009 1.52477126026 1.77798967883 2.01581993183 2.12662319352 1.99278370722 
1.52999 1.51895009131 1.76176211153 2.0098181255 2.13443044237 2.00080177306 
1.53994 1.51421058393 1.77247470439 2.01528241518 2.13468802427 2.00312389282 
1.54996 1.51386899949 1.75728083283 2.00546983146 2.14377585685 2.00572205151 
1.55999 1.50169155669 1.76264744252 2.01620777282 2.14283939993 2.01626269931 
1.57001 1.49082517607 1.75846252352 2.0098010746 2.15482838349 2.01416013663 
1.57996 1.49132914403 1.75883901219 2.01487823964 2.15193073641 2.02293654237 
1.59001 1.49878834205 1.74974923881 2.00398262451 2.15671492512 2.02506823739 
1.60005 1.47961072275 1.74555960325 2.0078292001 2.15780790956 2.02638079965 
1.61001 1.47256928744 1.74835451841 2.00517359135 2.16554416434 2.03479170102 
1.61999 1.46923253064 1.73555046201 2.00609996067 2.16310861747 2.03902162665 
1.62995 1.4500736648 1.74926597999 2.00591180753 2.15738812699 2.04944241088 
1.63995 1.46954396536 1.73669782282 2.00411166935 2.17350911434 2.04335484366 
1.65 1.46244635397 1.72637794821 1.99708185746 2.17930166854 2.04889406135 
1.66008 1.45726927575 1.7175454441 2.00951104655 2.17541162096 2.05376985262 
1.6701 1.44986699691 1.71480907113 1.99813406103 2.17564754848 2.05667268689 
1.68004 1.44446390778 1.71524618403 2.00147102507 2.181547318 2.06483622892 
1.69 1.44271879075 1.71205248908 1.99694885972 2.18556573437 2.0703301209 
1.69997 1.42610325124 1.71140205327 1.98792075342 2.19297852599 2.07360846536 
1.70995 1.4185190207 1.70924537548 1.99017304146 2.18946353424 2.07998203174 
1.71997 1.42368950791 1.69647223203 1.99365792551 2.19238734648 2.0832405924 
1.73002 1.41208349564 1.69827616768 1.98927833204 2.19585726592 2.08800104839 
1.74004 1.40825161948 1.68048417894 1.98150479959 2.20287602418 2.09252766049 
1.75002 1.40563989441 1.69122925694 1.98910758134 2.20243462827 2.0897986658 
1.76 1.39800566216 1.68520446981 1.98764666638 2.2056616763 2.10036927243 
1.77003 1.39787530753 1.68993696818 1.97895309056 2.20349726648 2.10223352057 
1.78004 1.38744306597 1.67554198557 1.9823632008 2.21001675783 2.10969794723 
1.79 1.37673115627 1.68872646152 1.97430434463 2.21333300826 2.10707399767 
1.80003 1.38010274661 1.66421240234 1.97886287683 2.21856659989 2.11453511881 
1.81002 1.3782916069 1.66938640459 1.97422836344 2.21454425837 2.1220141074 
1.82003 1.36935804039 1.6670420731 1.97363306249 2.21845169542 2.121496075 
1.83006 1.35991513183 1.66235293159 1.97361696913 2.22471956653 2.12844813931 
1.84004 1.3618416991 1.6518611016 1.97291807846 2.22393384943 2.13436964567 
1.85005 1.35353596382 1.64698247971 1.95585016149 2.22320743785 2.13632971884 
1.86007 1.355178509 1.65573279387 1.96595495148 2.23295564826 2.14063795054 
1.87003 1.33764693955 1.63759197495 1.95969264607 2.23448172807 2.14335237157 
1.88002 1.33411940849 1.643676874 1.96229077903 2.23280827709 2.15039628566 
1.89002 1.33123616395 1.64243412113 1.95989455067 2.2310870116 2.15222510012 
1.90002 1.32413135625 1.62702974055 1.94839986706 2.23937960441 2.15485082991 
1.91004 1.3205319 1.62301364786 1.95591893159 2.23055773676 2.16387552614 
1.92005 1.31906474012 1.62016655627 1.95316950163 2.24628782927 2.16457416336 
1.93001 1.31920182862 1.61405455255 1.9586277861 2.24362880655 2.16811130474 
1.93999 1.31128833843 1.6212946539 1.95056225126 2.24532773977 2.1660448777 
1.94997 1.30445384441 1.61592595113 1.94350875972 2.2514803175 2.17566835884 
1.95999 1.30003087869 1.60039094183 1.94656173285 2.25080562731 2.17704686887 
1.96998 1.29238986342 1.60563269613 1.94921462781 2.24640419119 2.18247054056 
1.97995 1.2848872419 1.59426269789 1.93811694644 2.25383765615 2.19309579056 
1.98998 1.282303897 1.58445075415 1.93546756111 2.25653212226 2.1873890909 
2.00001 1.28123532578 1.58821125213 1.94303044263 2.26009831892 2.19655515567 
2.01004 1.2812270694 1.59023964139 1.93350280237 2.26564624304 2.19738361406 
2.02001 1.27133455333 1.57287284878 1.93043563014 2.26431711548 2.20282199972 
2.02995 1.26476046872 1.56985044037 1.92887195633 2.26474295491 2.2049660438 
2.03993 1.2629236531 1.56304820424 1.92680194631 2.26099146424 2.21313833421 
2.05002 1.25926935131 1.57181847869 1.92525615354 2.26646981889 2.2137547699 
2.06004 1.25584810755 1.56102834983 1.92390146041 2.2746060054 2.21614388249 
2.06999 1.25211047561 1.54579722252 1.92290603661 2.26656951096 2.221240077 
2.07997 1.24333671512 1.56195039367 1.91545607604 2.27058895476 2.22315777501 
2.08997 1.24398536536 1.54988467675 1.91123474548 2.27509276088 2.22990794267 
2.1 1.2415613882 1.54383002129 1.9203647648 2.2811626337 2.22876886089 
2.11005 1.22270686194 1.54346688882 1.91514680636 2.27772571658 2.23440906602 
2.12003 1.22907000912 1.54467358627 1.90195045809 2.28286572672 2.24525738289 
2.13001 1.22888962083 1.52513452654 1.90481206737 2.28137557886 2.24302471407 
2.14 1.21835533683 1.52703288738 1.90266980765 2.27994573659 2.24890602626 
2.15 1.21674066775 1.52640771703 1.89096168904 2.2801960504 2.24692313459 
2.16002 1.21173839252 1.51472990245 1.8990827908 2.2901076905 2.25066035963 
2.16999 1.20546206082 1.51913478801 1.88420382211 2.29269531176 2.25519451336 
2.17998 1.20925028366 1.51410243594 1.8827657591 2.28509886313 2.26147813852 
2.19005 1.19809590249 1.51140729793 1.88394980381 2.28334661905 2.26838692765 
2.20008 1.20561981661 1.48993548701 1.88839382799 2.2935903324 2.27003357325 
2.21007 1.19417670019 1.49442097784 1.88138948245 2.29352052046 2.26736827657 
